year,gdp_const_usd
1960,16784217051.3852
1961,17202653946.7252
1962,16931789756.8334
1963,16960651491.9083
1964,17374579715.8112
1965,17556249025.7395
1966,18093971640.9766
1967,17432305113.646
1968,17761585972.3144
1969,18803256921.9176
1970,19241977028.4357
1971,19193542753.4569
1972,18940270547.9015
1973,18992394099.987
1974,19542289356.6581
1975,20733765993.5299
1976,21549737170.4348
1977,21863385229.0134
1978,23038320347.7266
1979,24466492719.2575
1980,25896167975.2906
1981,26300034208.3807
1982,23733710676.1581
1983,21295214497.4957
1984,21051891660.6852
1985,21360625236.6484
1986,23242455370.5452
1987,25100256718.148
1988,25471975822.888
1989,25753161224.7828
1990,25829737832.144
1991,26743802791.2413
1992,28865011154.8822
1993,29632112135.1097
1994,31789727752.3514
1995,31329539981.1782
1996,33077088488.9395
1997,35904413225.1269
1998,37526894198.668
1999,36956130432.4805
2000,36242902749.5716
2001,34849678466.8177
2002,32155098813.2195
2003,32414038652.1022
2004,34036089123.994
2005,36575226344.6127
2006,38074290288.9132
2007,40564924117.3376
2008,43475921755.0631
2009,45320819970.7986
2010,48857389210.184
2011,51379472633.5779
2012,53197370201.0395
2013,55664418793.7377
2014,57467273107.5946
2015,57680327998.6689
2016,58655009160.0858
2017,59675827116.7172
2018,59774159517.7554
2019,60329073609.8215
2020,55890466349.1545
2021,59156857853.7605
2022,61810768801.3209
2023,62269484309.0206
2024,64204978531.9491
2025,65360668145.5
